n,categoria,cat_norm,data,anno,valore,file,valore_delta
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-08-28,2022,90,2022-08-29.csv,4
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-08-28,2022,67,2022-08-29.csv,2
5,di cui da partner/ex partner,omicidi_da_partner,2022-08-28,2022,42,2022-08-29.csv,2
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-08-28,2022,40,2022-08-29.csv,1
1,Omicidi commessi,omicidi,2022-09-04,2022,204,2022-09-05.csv,4
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-09-04,2022,78,2022-09-05.csv,1
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-09-04,2022,92,2022-09-05.csv,2
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-09-04,2022,68,2022-09-05.csv,1
5,di cui da partner/ex partner,omicidi_da_partner,2022-09-04,2022,44,2022-09-05.csv,2
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-09-04,2022,41,2022-09-05.csv,1
1,Omicidi commessi,omicidi,2022-09-11,2022,208,2022-09-12.csv,4
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-09-11,2022,78,2022-09-12.csv,0
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-09-11,2022,92,2022-09-12.csv,0
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-09-11,2022,68,2022-09-12.csv,0
5,di cui da partner/ex partner,omicidi_da_partner,2022-09-11,2022,44,2022-09-12.csv,0
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-09-11,2022,41,2022-09-12.csv,0
1,Omicidi commessi,omicidi,2022-09-18,2022,211,2022-09-19.csv,3
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-09-18,2022,78,2022-09-19.csv,0
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-09-18,2022,92,2022-09-19.csv,0
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-09-18,2022,68,2022-09-19.csv,0
5,di cui da partner/ex partner,omicidi_da_partner,2022-09-18,2022,44,2022-09-19.csv,0
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-09-18,2022,41,2022-09-19.csv,0
1,Omicidi commessi,omicidi,2022-09-25,2022,215,2022-09-26.csv,4
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-09-25,2022,81,2022-09-26.csv,3
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-09-25,2022,95,2022-09-26.csv,3
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-09-25,2022,71,2022-09-26.csv,3
5,di cui da partner/ex partner,omicidi_da_partner,2022-09-25,2022,45,2022-09-26.csv,1
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-09-25,2022,42,2022-09-26.csv,1
1,Omicidi commessi,omicidi,2022-10-02,2022,222,2022-10-03.csv,7
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-10-02,2022,83,2022-10-03.csv,2
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-10-02,2022,97,2022-10-03.csv,2
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-10-02,2022,72,2022-10-03.csv,1
5,di cui da partner/ex partner,omicidi_da_partner,2022-10-02,2022,47,2022-10-03.csv,2
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-10-02,2022,43,2022-10-03.csv,1
1,Omicidi commessi,omicidi,2022-10-09,2022,226,2022-10-10.csv,4
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-10-09,2022,83,2022-10-10.csv,0
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-10-09,2022,99,2022-10-10.csv,2
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-10-09,2022,72,2022-10-10.csv,0
5,di cui da partner/ex partner,omicidi_da_partner,2022-10-09,2022,47,2022-10-10.csv,0
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-10-09,2022,43,2022-10-10.csv,0
1,Omicidi commessi,omicidi,2022-10-16,2022,230,2022-10-17.csv,4
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-10-16,2022,86,2022-10-17.csv,3
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-10-16,2022,101,2022-10-17.csv,2
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-10-16,2022,74,2022-10-17.csv,2
5,di cui da partner/ex partner,omicidi_da_partner,2022-10-16,2022,48,2022-10-17.csv,1
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-10-16,2022,44,2022-10-17.csv,1
1,Omicidi commessi,omicidi,2022-10-23,2022,235,2022-10-24.csv,5
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-10-23,2022,89,2022-10-24.csv,3
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-10-23,2022,104,2022-10-24.csv,3
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-10-23,2022,77,2022-10-24.csv,3
5,di cui da partner/ex partner,omicidi_da_partner,2022-10-23,2022,50,2022-10-24.csv,2
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-10-23,2022,46,2022-10-24.csv,2
1,Omicidi commessi,omicidi,2022-10-30,2022,246,2022-10-31.csv,11
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-10-30,2022,91,2022-10-31.csv,2
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-10-30,2022,106,2022-10-31.csv,2
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-10-30,2022,79,2022-10-31.csv,2
5,di cui da partner/ex partner,omicidi_da_partner,2022-10-30,2022,50,2022-10-31.csv,0
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-10-30,2022,46,2022-10-31.csv,0
1,Omicidi commessi,omicidi,2022-11-06,2022,256,2022-11-07.csv,10
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-11-06,2022,94,2022-11-07.csv,3
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-11-06,2022,111,2022-11-07.csv,5
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-11-06,2022,82,2022-11-07.csv,3
5,di cui da partner/ex partner,omicidi_da_partner,2022-11-06,2022,52,2022-11-07.csv,2
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-11-06,2022,48,2022-11-07.csv,2
1,Omicidi commessi,omicidi,2022-11-13,2022,261,2022-11-14.csv,5
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-11-13,2022,96,2022-11-14.csv,2
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-11-13,2022,113,2022-11-14.csv,2
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-11-13,2022,84,2022-11-14.csv,2
5,di cui da partner/ex partner,omicidi_da_partner,2022-11-13,2022,53,2022-11-14.csv,1
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-11-13,2022,49,2022-11-14.csv,1
1,Omicidi commessi,omicidi,2022-11-20,2022,273,2022-11-21.csv,12
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-11-20,2022,104,2022-11-21.csv,8
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-11-20,2022,120,2022-11-21.csv,7
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-11-20,2022,88,2022-11-21.csv,4
5,di cui da partner/ex partner,omicidi_da_partner,2022-11-20,2022,56,2022-11-21.csv,3
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-11-20,2022,52,2022-11-21.csv,3
1,Omicidi commessi,omicidi,2022-11-27,2022,281,2022-11-28.csv,8
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-11-27,2022,107,2022-11-28.csv,3
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-11-27,2022,125,2022-11-28.csv,5
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-11-27,2022,91,2022-11-28.csv,3
5,di cui da partner/ex partner,omicidi_da_partner,2022-11-27,2022,57,2022-11-28.csv,1
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-11-27,2022,52,2022-11-28.csv,0
1,Omicidi commessi,omicidi,2022-12-04,2022,286,2022-12-05.csv,5
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-12-04,2022,110,2022-12-05.csv,3
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-12-04,2022,126,2022-12-05.csv,1
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-12-04,2022,92,2022-12-05.csv,1
5,di cui da partner/ex partner,omicidi_da_partner,2022-12-04,2022,58,2022-12-05.csv,1
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-12-04,2022,53,2022-12-05.csv,1
1,Omicidi commessi,omicidi,2022-12-11,2022,291,2022-12-12.csv,5
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-12-11,2022,114,2022-12-12.csv,4
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-12-11,2022,127,2022-12-12.csv,1
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-12-11,2022,93,2022-12-12.csv,1
5,di cui da partner/ex partner,omicidi_da_partner,2022-12-11,2022,59,2022-12-12.csv,1
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-12-11,2022,54,2022-12-12.csv,1
1,Omicidi commessi,omicidi,2022-12-18,2022,300,2022-12-19.csv,9
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-12-18,2022,119,2022-12-19.csv,5
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-12-18,2022,133,2022-12-19.csv,6
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-12-18,2022,97,2022-12-19.csv,4
5,di cui da partner/ex partner,omicidi_da_partner,2022-12-18,2022,62,2022-12-19.csv,3
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-12-18,2022,57,2022-12-19.csv,3
