codice-isil;codice-sbn;denominazione;indirizzo;frazione;cap;comune;codice istat comune;provincia;regione;codice istat provincia;latitudine;longitudine;telefono;fax;email;url
IT-AG0134;;Biblioteca del Polo territoriale universitario di Agrigento. Università degli studi di Palermo;Via Ugo La Malfa;;92100;Agrigento;084001;Agrigento;SICILIA;084;37,3020872850997;13,5929968772461;+39 0922403586;;bibliopolo.ag@unipa.it;http://www.unipa.it/biblioteche/le-biblioteche/Poli-didattici-bibliotecari/Biblioteca-del-Polo-Didattico-di-Agrigento/
IT-AG0135;;"Biblioteca scolastica ""Onofrio Lo Dico""";Via Empedocle 169;;92100;Agrigento;084001;Agrigento;SICILIA;084;37,3097086667542;13,5832845398811;+39 092220335;+39 0922553585;agpc010001@istruzione.it;http://www.liceoempedocle.it/
IT-AL0001;TO036;Biblioteca civica di Acqui Terme;Via Maggiorino Ferraris, 15;;15011;Acqui Terme;006001;Alessandria;PIEMONTE;006;44,6781703;8,465604599999999;+39 0144770267;+39 014457627;AL0001@biblioteche.ruparpiemonte.it;https://www.biblioteca.comune.acquiterme.al.it/
IT-AL0002;TO041;Biblioteca civica Francesca Calvo;piazza VITTORIO VENETO 1;;15121;Alessandria;006003;Alessandria;PIEMONTE;006;44,9114484;8,6193907;0131515911;+39 0131515902;biblioteca.civica@comune.alessandria.it;http://www.comune.alessandria.it/flex/cm/pages/serveblob.php/l/it/idpagina/1315
IT-AL0003;;Biblioteca dell'Archivio di Stato di Alessandria;Via Giorgio Solero 43;;15100;Alessandria;006003;Alessandria;PIEMONTE;006;44,9137392;8,6259887;+39 0131252794;+39 0131236048;as-al@beniculturali.it;http://www.asalessandria.beniculturali.it/index.php?it/99/biblioteca
IT-AL0004;TO0GQ;Biblioteca diocesana del Seminario vescovile;Via Inviziati, 1;;15121;Alessandria;006003;Alessandria;PIEMONTE;006;44,9169522;8,6130294;+39 +39 0131.512239 ;+39 0131.444897;beniculturali@diocesialessandria.it;
IT-AL0006;;Biblioteca delle Societa' di storia, arte e archeologia per le province di Alessandria e Asti;Via Plana 42;;15100;Alessandria;006003;Alessandria;PIEMONTE;006;44,9148321;8,6186655;+39 0131264497;;;
IT-AL0007;TO042;Biblioteca della Camera di commercio di Alessandria;via Vochieri, 58;;15121;Alessandria;006003;Alessandria;PIEMONTE;006;44,9149822;8,611836799999999;+390131313350;+39 013143186;alain.bocchio@al.camcom.it;
IT-AL0008;;Biblioteca civica;via ROMA 6;;15021;Alfiano Natta;006004;Alessandria;PIEMONTE;006;45,0470654;8,2085733;0141922123;+39 0141922123;info@comune.alfianonatta.al.it;
IT-AL0009;TO0QM;Biblioteca civica;piazza Giovanni Guacchione, 1;;15010;Alice Bel Colle;006005;Alessandria;PIEMONTE;006;44,7255573;8,450847999999999;+39 014474104;+39 0144745942;info@comune.alicebelcolle.al.it;https://comune.alicebelcolle.al.it/
IT-AL0011;TO0K3;"Biblioteca civica ""Gaetano Poggi""";Piazza S. Bertelli 19;;15061;Arquata Scrivia;006009;Alessandria;PIEMONTE;006;44,6865702;8,88577239999995;+39 0143600427;+39 0143600417;biblioteca@comune.arquatascrivia.al.it;http://www.comune.arquatascrivia.al.it/?page_id=499
IT-AL0014;TO0Q1;Biblioteca civica;Corso Carlo Testa 3;;15012;Bistagno;006017;Alessandria;PIEMONTE;006;44,6602097;8,3699538;+39 014479106;+39 014479865;;
IT-AL0015;TO0KQ;Biblioteca civica;piazza Europa 13;;15060;Borghetto di Borbera;006018;Alessandria;PIEMONTE;006;44,7309963;8,9452855;014369101;+39 0143697298;;
IT-AL0016;;Biblioteca civica Pio e Ildegarda Occella;via L. Verde;;15062;Bosco Marengo;006021;Alessandria;PIEMONTE;006;44,822143;8,676652;0131299342;+39 0131299686;;
IT-AL0017;;Biblioteca civica;Via Umberto I 50;;15060;Bosio;006022;Alessandria;PIEMONTE;006;44,6469431;8,7911112;+39 0143684536;;;
IT-AL0020;;Biblioteca G. Ferraro;piazza Vittorio Emanuele II, 7;;15071;Carpeneto;006033;Alessandria;PIEMONTE;006;44,6771406;8,6065492;014385123;;carpenito@ruparpiemonte.it;www.comune.carpeneto.al.it
IT-AL0021;;Biblioteca civica Fedele Barco;piazza San Carlo 8;;15072;Casal Cermelli;006037;Alessandria;PIEMONTE;006;44,8351618;8,6260029;+390131279575;;;
IT-AL0024;TO0L2;Biblioteca del Seminario vescovile;Piazza Calabiana, 1;;15033;Casale Monferrato;006039;Alessandria;PIEMONTE;006;45,1375546;8,4546372;+39 0142.455833;;biblsem@virgilio.it;http://www.regione.piemonte.it/cultura/ricerca/biblioteche/sbn.htm?biblio=24216
IT-AL0026;;Biblioteca civica;Piazza XXVI Aprile 8;;15063;Cassano Spinola;006191;Alessandria;PIEMONTE;006;44,766162;8,863507;+39 014347117;+39 0143477285;;
IT-AL0027;TO0Q2;"Biblioteca civica ""Ettore Amerio""";piazzetta San Giacomo, 1;;15016;Cassine;006043;Alessandria;PIEMONTE;006;44,748377;8,524317;+390144715376;+39 0144714258;segreteria@comune.cassine.al.it;
IT-AL0029;TO0I2;Biblioteca civica;Piazza S. Tomaso, 1;;15050;Castellar Guidobono;006046;Alessandria;PIEMONTE;006;44,906295;8,946598;0131898053;+39 0131898053;;
IT-AL0030;TO0UK;Biblioteca civica Francesco Poggio;via XXV Aprile, 134;;15073;Castellazzo Bormida;006047;Alessandria;PIEMONTE;006;44,845487;8,576870999999999;0131272832;+39 0131270774;biblioteca@comunecastellazzobormida.it;
IT-AL0031;TO0KW;BIBLIOTECA CIVICA COMUNALE;piazza G. MARCONI 1;;15060;Castelletto d'Orba;006049;Alessandria;PIEMONTE;006;44,6703782;8,7298766;0143827176;;ragioneria@comune.castellettodorba.al.it;www.comune.castellettodorba.al.it
IT-AL0033;TO0KJ;Biblioteca civica Pier Angelo Soldini;Via Solferino 3;;15053;Castelnuovo Scrivia;006053;Alessandria;PIEMONTE;006;44,9808604;8,88033629999996;+39 0131826754;;biblioteca@comune.castelnuovoscrivia.al.it;http://www.comune.castelnuovoscrivia.al.it/bibliotecasoldini/index.asp
IT-AL0034;;Biblioteca civica;Piazza Boccasso 3;;15070;Castelspina;006054;Alessandria;PIEMONTE;006;44,8042668;8,5829296;+39 0131700144;;;
IT-AL0036;TO0EB;Biblioteca civica;Via Francia 12;;15034;Cella Monte;006056;Alessandria;PIEMONTE;006;45,0741078;8,3918688;+39 0142488161;;;
IT-AL0037;;Biblioteca civica;via ROMA 32;;15020;Cereseto;006057;Alessandria;PIEMONTE;006;45,0861082;8,3168437;0142940185;+39 0142940185;demografici@comune.cereseto.al.it;
IT-AL0038;TO0E7;Biblioteca civica;piazza Australia, 5;;15030;Conzano;006061;Alessandria;PIEMONTE;006;45,020452;8,456127;0142925132;;comune@comune.conzano.al.it;
IT-AL0040;;Biblioteca civica;Via San Pio V;;15065;Frugarolo;006075;Alessandria;PIEMONTE;006;44,8379796;8,6805468;+39 0131296022;+39 0131296023;;
IT-AL0041;;Biblioteca civica;piazza Cristoforo Colombo, 11;;15043;Fubine Monferrato;006076;Alessandria;PIEMONTE;006;44,965448;8,42577;01311826690;+39 0131778700;BIBLIOTECA@COMUNEDIFUBINE.IT;
IT-AL0046;TO0KC;Biblioteca civica Giuseppe Boffito;via G. GARIBALDI 44;;15066;Gavi;006081;Alessandria;PIEMONTE;006;44,6889274;8,8036272;0143642526;;bibliotecaboffito@comunegavi.it;
IT-AL0047;TO0EU;Biblioteca comunale;via Pasquarelli 2;;15036;Giarole;006082;Alessandria;PIEMONTE;006;45,0594224;8,56782720000001;014268123;+39 014268388;demografici@comune.giarole.al.it;
IT-AL0048;;Biblioteca civica;piazza G. Marconi 17;;15040;Mirabello Monferrato;006094;Alessandria;PIEMONTE;006;45,0357034;8,5229468;+39014263121;;info@comune.mirabellomonferrato.al.it;comune.mirabellomonferrato.al.it
IT-AL0050;;Biblioteca civica;via Raggi, 10;;15074;Molare;006095;Alessandria;PIEMONTE;006;44,6198401;8,5997789;0143888121;;info@comune.molare.al.it;
IT-AL0054;TO0Q7;Biblioteca civica;piazza DELLA CIMINIERA 1;;15010;Montechiaro d'Acqui;006106;Alessandria;PIEMONTE;006;44,5991038;8,353051;014492058;+39 0144321519;info@comune.montechiarodacqui.al.it;www.comune.montechiarodacqui.al-it
IT-AL0056;TO0QL;Biblioteca civica Rosanna Benzi;via ROMA 1;;15010;Morbello;006110;Alessandria;PIEMONTE;006;44,6035985;8,5102163;0144768146;+39 0144768277;anagrafe@comune.morbello.al.it;
IT-AL0058;TO0Q8;Biblioteca civica;via G. Matteotti, 10;;15010;Morsasco;006112;Alessandria;PIEMONTE;006;44,66495;8,550188499999999;014473022;+39 014473140;;
IT-AL0062;TO0ED;"Biblioteca Civica ""Maestro Angelo Debernardis""";piazza Carlo Alberto 1;;15040;Occimiano;006115;Alessandria;PIEMONTE;006;45,0599293;8,5068152;+390142809131;+39 0142809100;info@comune.occimiano.al.it;www.comune.occimiano.al.it
IT-AL0063;;Biblioteca civica;piazza S. DEFENDENTE 2;;15020;Odalengo Grande;006116;Alessandria;PIEMONTE;006;45,1093802;8,1666328;0142949021;+39 0142949229;;
IT-AL0067;TO0E4;Biblioteca civica Alessandra Fracchia;via Trotti, 2;;15039;Ozzano Monferrato;006123;Alessandria;PIEMONTE;006;45,10481799999999;8,370804999999999;0142487153;+39 0142487038;;
IT-AL0070;;Biblioteca civica Federico Ragni;piazza San Giovanni 5;;15047;Alluvioni Piovera;006192;Alessandria;PIEMONTE;006;44,9593205;8,7348802;+390131698121;+39 0131698070;alluvionipiovera@pcert.it;
IT-AL0071;;Biblioteca civica SANDRO CASTELLI;piazza G. Matteotti 1;;15055;Pontecurone;006132;Alessandria;PIEMONTE;006;44,9604549;8,9326546;+390131886990;+39 0131886929;servizisociali@comune.pontecurone.al.it;
IT-AL0072;TO0EM;Biblioteca civica;piazza Castello 20;;15027;Pontestura;006133;Alessandria;PIEMONTE;006;45,1434752;8,333294;0142466134;+39 0142466867;;
IT-AL0073;TO0Q9;Biblioteca civica Tommaso e Angiolina Battaglia;via Sant'Anna;;15010;Ponzone;006136;Alessandria;PIEMONTE;006;44,5903324;8,459783;014478103;+39 014478362;ufficiocommercio@comune.ponzone.al.it;
IT-AL0074;;Biblioteca antica del Castello;piazza CASTELLO 1;;15068;Pozzolo Formigaro;006138;Alessandria;PIEMONTE;006;44,7934548;8,7815595;0143417054;;info@pozzoloformigaro.gov.it;
IT-AL0075;TO0K1;Biblioteca civica Caterina De Marco;piazza Castello 1;;15068;Pozzolo Formigaro;006138;Alessandria;PIEMONTE;006;44,7934548;8,7815595;0143417054;+39 0143418872;;
IT-AL0077;TO0QA;Biblioteca civica;via Roma, 2/B;;15010;Prasco;006139;Alessandria;PIEMONTE;006;44,6423639;8,552856499999999;0144375703;;info@comune.prasco.al.it;
IT-AL0080;TO0QB;Biblioteca civica;via Giuseppe Garibaldi, 1;;15010;Rivalta Bormida;006144;Alessandria;PIEMONTE;006;44,711682;8,548301;+390144372069;+39 0144372644;;
IT-AL0082;;Biblioteca civica;piazza VITTORIO VENETO 1;;15078;Rocca Grimalda;006147;Alessandria;PIEMONTE;006;44,671213;8,6477403;0143873121;+39 0143873494;;
IT-AL0084;TO0EJ;Biblioteca civica;via Valle, 1;;15030;Sala Monferrato;006150;Alessandria;PIEMONTE;006;45,0766016;8,3582933;0142486721;+39 0142486721;BIBLIOTECA@COMUNE.SALAMONFERRATO.AL.IT;
IT-AL0085;TO0YC;Biblioteca civica Alessandro Molinari;via G. BRUNO 13;;15045;Sale;006151;Alessandria;PIEMONTE;006;44,981598;8,810068;013184300;+39 0131828584;biblioteca@comune.sale.al.it;
IT-AL0086;TO0E2;Biblioteca civica;piazza Don Caproglio, 1;;15020;San Giorgio Monferrato;006153;Alessandria;PIEMONTE;006;45,1074067;8,414496999999999;0142806121;+39 0142806184;amministrativo@comune.sangiorgiomonferrato.al.it;www.comune.sangiorgiomonferrato.it
IT-AL0087;TO0UU;"Biblioteca comunale ""Domenico Fava""";via Cavalli 2;;15046;San Salvatore Monferrato;006154;Alessandria;PIEMONTE;006;44,9945499886812;8,567960777385;+390131238537;+39 0131238208;biblioteca@comune.sansalvatoremonferrato.al.it;http://www.ssalvatoreinrete.it/pagina.aspx?IDPagina=63
IT-AL0090;;Biblioteca civica;piazza Leramo;;15079;Sezzadio;006161;Alessandria;PIEMONTE;006;44,7874809;8,5723097;0131703119;+39 0131703240;;
IT-AL0091;;Biblioteca di Solero;via G. Marconi 1;;15029;Solero;006163;Alessandria;PIEMONTE;006;44,9195173;8,5077366;0131217213;+39 0131217720;tecnico@comune.solero.al.it;
IT-AL0092;;Biblioteca civica;Piazza Castello 1;;15020;Solonghello;006164;Alessandria;PIEMONTE;006;45,1309507;8,2816083;+39 0142944141;+39 0142944141;;
IT-AL0093;TO0QC;Biblioteca civica;piazza G. Garibaldi, 18;;15018;Spigno Monferrato;006165;Alessandria;PIEMONTE;006;44,9091613;8,613857099999999;+39014491155;+39 014491244;info@comune.spignomonferrato.al.it;www.comune.spignomonferrato.al.it
IT-AL0094;TO0K6;Biblioteca civica;piazza RISORGIMENTO 4;;15060;Stazzano;006167;Alessandria;PIEMONTE;006;44,7269445;8,867483;014365303;+39 014362890;info@comune.stazzano.al.it;www.comunedistazzano.it
IT-AL0095;TO0QD;Biblioteca civica;piazza G. MATTEOTTI 8;;15019;Strevi;006168;Alessandria;PIEMONTE;006;44,698461;8,5222165;0144363124;+39 0144372741;BIBLIOTECA@COMUNE.STREVI.AL.IT;
IT-AL0099;TO0C7;Biblioteca civica;piazza Antonio Tabucchi, 1;;15040;Ticineto;006173;Alessandria;PIEMONTE;006;45,1054143;8,559464799999999;0142411117;+39 0142411600;;
IT-AL0100;TO032;"Biblioteca civica ""Tommaso de Ocheda""";Via Ammiraglio Mirabello 1;;15057;Tortona;006174;Alessandria;PIEMONTE;006;44,8980983;8,86794800000007;+39 0131821302;+39 0131821595;biblioteca@comune.tortona.al.it;http://www.comune.tortona.al.it/Sezione.jsp?idSezione=573
IT-AL0101;TO0GP;Biblioteca del Seminario diocesano;Via Seminario , 7;;15057;Tortona;006174;Alessandria;PIEMONTE;006;44,8976286;8,8664597;+39 0131.816609;+39 0131.816607;beniculturali@diocesitortona.it;
IT-AL0104;TO0A1;Biblioteca civica;piazza XXXI Martiri 1;;15048;Valenza;006177;Alessandria;PIEMONTE;006;45,012268;8,6441846;0131949286;+39 0131946082;biblioteca@comune.valenza.al.it;"http://www.comune.valenza.al.it/italian/biblioteca_civica.php?iExpand1=4&amp;idnews="
IT-AL0105;TO0C6;Biblioteca civica;piazza Bisio, 1;;15040;Valmacca;006178;Alessandria;PIEMONTE;006;45,1004733;8,582412999999999;0142410154;+39 0142410576;biblioteca@comune.valmacca.al.it;
IT-AL0106;TO0K5;Biblioteca civica;via Roma, 14;;15060;Vignole Borbera;006180;Alessandria;PIEMONTE;006;44,7074794;8,8910696;+390143677074;+39 014367302;biblioteca@comune.vignoleborbera.al.it;
IT-AL0108;TO0E8;"Biblioteca civica ""Giuseppe Demichelis""";Piazza Finazzi, 6;;15030;Villanova Monferrato;006185;Alessandria;PIEMONTE;006;45,181661;8,477979099999999;+39 0142483121;+39 0142483705;biblioteca@comune.villanovamonferrato.al.it;www.comune.villanovamonferrato.al.it
IT-AL0110;TO0K4;Biblioteca civica;via Marconi, 78;;15060;Basaluzzo;006012;Alessandria;PIEMONTE;006;44,7662535;8,7024368;+390143489107;+39 0143489370;bibliotecabasaluzzo@gmail.com;bibliotecabasaluzzo.wordpress.com
IT-AL0112;TO0K9;Biblioteca civica;via Cavour;;15060;Cabella Ligure;006025;Alessandria;PIEMONTE;006;44,6730016;9,0966022;014399006;+39 014399006;;
IT-AL0114;TO049;Biblioteca civica Giovanni Canna;via CORTE D'APPELLO 12;;15033;Casale Monferrato;006039;Alessandria;PIEMONTE;006;45,1340432;8,4522332;0142444246;+39 0142444312;bibliote@comune.casale-monferrato.al.it;
IT-AL0118;;Biblioteca civica;via Roma, 57;Perno Inferiore;15020;Castelletto Merli;006050;Alessandria;PIEMONTE;006;45,074995;8,240844899999999;0141918123;+39 0141918123;;
IT-AL0119;;Biblioteca civica;piazza MARTIRI INTERNATI;;15020;Cerrina Monferrato;006059;Alessandria;PIEMONTE;006;45,120231;8,2153425;0142943421;+39 0142943817;protocollo@comune.cerrina.al.it;www.comune.cerrina.al.it
IT-AL0120;;Biblioteca civica Elena Cavallero;Piazza Ercole 2;;15023;Felizzano;006068;Alessandria;PIEMONTE;006;44,8980888;8,4357422;+39 0131791122;+39 0131772629;biblioteca.felizzano@gmail.com;https://www.comune.felizzano.al.it/it-it/vivere-il-comune/cultura/biblioteca-civica-elena-cavallero-9270-1-240323c68a9cf0eff879c171470c5ad1
IT-AL0123;TO037;Biblioteca civica coniugi Maria ed Eraldo Ighina;Piazza Cereseto, 7;;15076;Ovada;006121;Alessandria;PIEMONTE;006;45,08506999999999;8,3264863;014381774;;biblioteca@comune.vada.al.it;
IT-AL0124;;BIBLIOTECA CIVICA DON CESRE MORETTI;piazza UMBERTO I 1;;15040;Pietra Marazzi;006129;Alessandria;PIEMONTE;006;44,944098;8,670661;0131355124;+39 0131355124;info@comune.pietramarazzi.al.it;
IT-AL0127;TO0C5;Biblioteca civica;piazza DEL POPOLO;;15049;Vignale Monferrato;006179;Alessandria;PIEMONTE;006;45,0107008;8,3965173;0142923001;+39 0142933651;;
